Group,Pre_Post,Year,Region,Beach,Crawl_Type,Success_Nest,Date_Found,ID,Obstructed,Object_ID_Spec,Object_ID_Gen,People,Dist_HTL,Dist_Dune,East_Orig,North_Orig,Long_Orig,Lat_Orig,Relocated,East_Relo,North_Relo,Long_Relo,Lat_Relo,Relo_Reason,Comments
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,5/5/2011,AFC3,1,Unidentified,Unidentified,NA,24.2,0.0,410568,3344774,-87.9294,30.23123,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,5/20/2011,A01,0,NA,NA,NA,15.5,17.9,416099,3344445,-87.8719,30.22866,Yes,416387,3344466,-87.86891,30.22887,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,5/24/2011,A04,0,NA,NA,NA,27.9,3.0,401905,3344145,-88.01936,30.22489,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,5/24/2011,A02,0,NA,NA,NA,11.5,17.6,412582,3344665,-87.90846,30.2304,Yes,416570,3344463,-87.86701,30.22886,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,5/24/2011,A03,0,NA,NA,NA,14.8,39.7,403091,3344139,-88.00704,30.22493,Yes,403103,3344176,-88.00691,30.22527,Near/At HTL,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,5/25/2011,B01,0,NA,NA,NA,22.3,26.2,423594,3344690,-87.79403,30.23137,Yes,423593,3344714,-87.79405,30.23158,Low elevation,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,5/26/2011,A05,0,NA,NA,NA,18.9,37.9,414694,3344555,-87.88651,30.22956,Yes,414690,3344586,-87.88655,30.22984,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,Nest,1,5/26/2011,H01,0,NA,NA,NA,6.3,60.1,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
NA,1_Pre,2011,Dauphin Island,Dauphin Island,FC,0,5/26/2011,JFC1,0,NA,NA,NA,NA,NA,375163,3344976,-88.2973,30.22993,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,5/27/2011,B02,0,NA,NA,NA,19.1,15.2,423084,3344614,-87.79933,30.23065,No,NA,NA,NA,NA,NA,
