Year,Species,Beach Name,Unique ID,Nest Date,Nest Day,Nest Week,Lat,Long,Initial Treatment,Final Treatment,Predated,Any Predation Pre-Hatch,Any Predation Post-Hatch But Pre-Inventory,Multiple Predators,Mammalian Predator,Predator ID,Ghost Crab Less Than 10 Eggs,Complete Predation,Roots,Eggs Scattered By Another Turtle,Poached,Accretion,Washed Over,Inundated,Complete Wash Out,Partial Wash Out,Wash Out Post-Hatch But Pre-Inventory,Wash Out Comments,Emerge Date,Emerge Day,Emerge Week,Incubation Duration,Inventoried,Inventoried Comments,Date Inventoried,Dead in Nest,Live in Nest,Empty Shells,Pipped Dead,Pipped Live,Whole,Damaged,Clutch Size,Hatching Success,Emergence Success,Emergence Rate,Binom Hatch Success,Binom Hatch Fail,Binom Emerge Success,Binom Emerge Fail,Additional Notes,Start,End,Duration,Buoy,Tide,Elevation,MHWtoDuneToe_Radians,MHWtoDuneToe_Degrees,MHWtoNest_Radians,MHWtoNest_Degrees,MSLtoNest_Radians,MSLtoNest_Degrees,Wave Exposure Proportion (Gen Eq),Wave Exposure Proportion (Dis Eq),MSL Elevation
2016,Cc,Bald Point State Park,BPSP_2016_002,6/29/2016,181,27,29.916464,-84.335412,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,8/26/2016,2,1,82,1,0,0,0,83,0.988,0.952,0.963,82,1,79,4,,6/29/2016,8/26/2016,58,West Tampa,Pensacola,2.118,0.0553,3.17,0.1259,7.21,0.1193,6.83,0.0218579,0.0095628,0.090
2017,Cc,Bald Point State Park,BPSP_2017_003,6/1/2017,152,22,29.91015,-84.3375,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,8/20/2017,0,0,83,0,0,0,3,86,0.965,0.965,1,83,3,83,3,False crawl that hatched. ,6/1/2017,8/20/2017,80,West Tampa,Pensacola,2.702,0.0732,4.19,0.1051,6.02,0.1015,5.81,0.010929,0.0013661,0.090
2017,Cc,Bald Point State Park,BPSP_2017_005,6/15/2017,166,24,29.91916,-84.33472,B,B,Yes,No,Yes,No,No,Ghost Crab,Yes,No,No,No,No,No,Yes,No,No,No,NA,NA,8/15/2017,227,33,61,Yes,,8/17/2017,1,4,94,0,0,10,1,105,0.895,0.848,0.947,94,11,89,16,,6/15/2017,8/15/2017,61,West Tampa,Pensacola,2.657,0.1512,8.66,0.12,6.88,0.1181,6.77,0.0095628,0.0013661,0.090
2018,Cc,Bald Point State Park,BPSP_2018_003,7/22/2018,203,30,29.91963,-84.33475,A,A,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/30/2018,0,0,0,0,0,83,14,97,0,0,0,0,97,0,97,,7/22/2018,9/30/2018,70,West Tampa,Pensacola,3.329,0.078,4.47,0.0858,4.92,0.0867,4.97,0.0054645,0.0013661,0.090
2018,Cc,Bald Point State Park,BPSP_2018_004,7/11/2018,192,28,29.92779,-84.33397,A,A,Yes,Yes,No,No,No,Ghost Crab,No,No,No,No,No,No,Yes,No,No,No,NA,NA,9/19/2018,262,38,70,Yes,,9/30/2018,2,0,15,0,0,2,1,18,0.833,0.722,0.867,15,3,13,5,,7/11/2018,9/19/2018,70,West Tampa,Pensacola,1.225,0.0395,2.27,0.0696,3.99,0.0721,4.13,0.1338798,0.0423497,0.090
2019,Cc,Bald Point State Park,BPSP_2019_002,6/11/2019,162,24,29.90179,-84.34228,A,A,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/20/2019,0,0,0,0,0,124,0,124,0,0,0,0,124,0,124,,6/11/2019,9/20/2019,101,West Tampa,Pensacola,1.934,0.0666,3.81,0.0713,4.09,0.0749,4.29,0.0259563,0.0122951,0.090
2016,Cc,Cape San Blas AFB,CSAF_2016_001,7/3/2016,185,28,29.66803,-85.34706,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/22/2016,0,0,0,0,0,106,0,106,0,0,0,0,106,0,106,,7/3/2016,9/22/2016,81,Pensacola,Pensacola,1.422,0.0107,0.61,0.0094,0.54,0.0093,0.53,0.0245902,0.0321038,0.090
2016,Cc,Cape San Blas AFB,CSAF_2016_003,6/29/2016,181,27,29.676326,-85.362159,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,6/29/2016,9/11/2016,74,Pensacola,Apalachicola,1.035,0.0121,0.69,0.0067,0.38,0.0071,0.41,0.0969945,0.1325137,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_004,6/26/2016,178,27,29.676023,-85.361876,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,6/26/2016,9/8/2016,74,Pensacola,Apalachicola,2.292,0.008,0.46,0.0182,1.04,0.0168,0.96,0.0013661,0.0040984,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_005,6/29/2016,181,27,29.675993,-85.361776,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,6/29/2016,9/11/2016,74,Pensacola,Apalachicola,2.062,0.0188,1.08,0.0155,0.89,0.0145,0.83,0.0095628,0.0150273,0.045
