Nest,Treatment,Attempts2,Events1
CC18AN2,Screen,0,1
CC18BN2,Screen,0,1
CC18BN7,Screen,1,0
CC18BN11,Screen,0,1
CC18BN16,Screen,0,1
CC18AN7,Screen,0,0
CC18BN26,Screen,0,0
CC18BN35,Screen,0,0
CC18BN39,Screen,0,0
CC18BN44,Screen,0,0
CC18BN49,Screen,0,0
CC18AN1,Control,0,1
CC18BN1,Control,0,0
CC18BN6,Control,0,1
CC18BN14,Control,0,1
CC18BN20,Control,0,1
CC18AN6,Control,0,1
CC18BN28,Control,0,1
CC18BN33,Control,0,1
CC18BN38,Control,0,1
CC18BN43,Control,0,1
CC18BN48,Control,1,0
CC18BN5,Metal Cage,0,1
CC18AN3,Metal Cage,0,1
CC18BN12,Metal Cage,1,0
CC18BN17,Metal Cage,0,0
CC18BN25,Metal Cage,0,0
CC18AN10,Metal Cage,0,1
CC18BN31,Metal Cage,0,0
CC18BN36,Metal Cage,0,1
CC18BN40,Metal Cage,0,0
CC18BN45,Metal Cage,0,0
CC18BN50,Metal Cage,0,0
CC18BN4,Plastic Cage,1,0
CC18BN9,Plastic Cage,0,0
CC18BN13,Plastic Cage,0,0
CC18BN19,Plastic Cage,0,0
CC18AN5,Plastic Cage,0,0
CC18BN27,Plastic Cage,1,0
CC18BN32,Plastic Cage,0,0
CC18BN37,Plastic Cage,0,0
CC18BN41,Plastic Cage,0,0
CC18BN46,Plastic Cage,0,1
CC18AN13,Plastic Cage,0,0
CC18BN51,Plastic Cage,0,0
